Id,ProductCategory,Score,Summary,Text
136,Coffee & Tea,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Bought it last week."
137,Coffee & Tea,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience."
138,Beverages,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Bought it last week."
139,Kitchen Tools,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Bought it last week."
140,Coffee & Tea,5,Works exactly as described,"Works exactly as described, very happy with this purchase"
141,Kitchen Tools,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Bought it last week."
142,Beverages,3,The product is acceptable but packaging ,The product is acceptable but packaging could be better Just my honest opinion.
143,Skincare,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Bought it last week."
144,Pet Food,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Overall a solid experience."
145,Coffee & Tea,3,Does what it says,"Does what it says, nothing more nothing less Overall a solid experience."
146,Electronics Accessories,1,Poor customer service and the product ar,Poor customer service and the product arrived late Bought it last week.
147,Coffee & Tea,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Just my honest opinion."
148,Pet Food,4,This is amazing,"This is amazing, best purchase I have made this year Bought it last week."
149,Snacks,1,Completely useless,"Completely useless, going to return it immediately Bought it last week."
150,Kitchen Tools,3,Not sure if I would buy this again,"Not sure if I would buy this again, it is just fine Overall a solid experience."
151,Skincare,5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Bought it last week."
152,Health Supplements,3,It is fine for daily use,"It is fine for daily use, no major complaints Just my honest opinion."
153,Health Supplements,2,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Bought it last week.
154,Pet Food,4,This is amazing,"This is amazing, best purchase I have made this year"
155,Skincare,5,My family loves it,"My family loves it, we buy this every single month now Bought it last week."
156,Pet Food,3,Average product,"Average product, not bad but not great either Really."
157,Electronics Accessories,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Really."
158,Kitchen Tools,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations"
159,Beverages,3,It is fine for daily use,"It is fine for daily use, no major complaints Bought it last week."
160,Kitchen Tools,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Just my honest opinion.
161,Coffee & Tea,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Just my honest opinion."
162,Snacks,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Really."
163,Kitchen Tools,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Just my honest opinion."
164,Health Supplements,4,This is amazing,"This is amazing, best purchase I have made this year Bought it last week."
165,Kitchen Tools,1,Very disappointed with this purchase,"Very disappointed with this purchase, would not recommend Bought it last week."
166,Electronics Accessories,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Just my honest opinion."
167,Skincare,4,Super satisfied with the quality and the,Super satisfied with the quality and the price point Bought it last week.
168,Coffee & Tea,3,It is fine for daily use,"It is fine for daily use, no major complaints Bought it last week."
169,Electronics Accessories,1,I regret buying this,"I regret buying this, it did not meet expectations at all Just my honest opinion."
170,Pet Food,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Just my honest opinion.
171,Health Supplements,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Overall a solid experience."
172,Health Supplements,1,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Overall a solid experience.
173,Kitchen Tools,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Overall a solid experience."
174,Skincare,3,Not sure if I would buy this again,"Not sure if I would buy this again, it is just fine Overall a solid experience."
175,Electronics Accessories,5,My family loves it,"My family loves it, we buy this every single month now"
176,Coffee & Tea,2,Waste of money,"Waste of money, does not work as advertised Really."
177,Beverages,5,This is amazing,"This is amazing, best purchase I have made this year Really."
178,Skincare,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Just my honest opinion."
179,Coffee & Tea,5,My family loves it,"My family loves it, we buy this every single month now Just my honest opinion."
180,Coffee & Tea,2,Very disappointed with this purchase,"Very disappointed with this purchase, would not recommend Really."
181,Snacks,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Bought it last week."
182,Snacks,2,Completely useless,"Completely useless, going to return it immediately Just my honest opinion."
183,Coffee & Tea,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience."
184,Kitchen Tools,5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Bought it last week."
185,Pet Food,3,It is fine for daily use,"It is fine for daily use, no major complaints Really."
186,Snacks,5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Just my honest opinion."
187,Coffee & Tea,5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Overall a solid experience."
188,Electronics Accessories,5,This is amazing,"This is amazing, best purchase I have made this year Just my honest opinion."
189,Snacks,4,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Bought it last week."
190,Snacks,3,Does what it says,"Does what it says, nothing more nothing less Bought it last week."
191,Electronics Accessories,1,Terrible quality,"Terrible quality, broke after just one use Just my honest opinion."
192,Snacks,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Really.
193,Skincare,5,Works exactly as described,"Works exactly as described, very happy with this purchase Just my honest opinion."
194,Skincare,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Just my honest opinion."
195,Pet Food,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Just my honest opinion."
196,Beverages,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Overall a solid experience."
197,Snacks,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point
198,Beverages,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Really."
199,Kitchen Tools,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations"
200,Electronics Accessories,5,Excellent value for money,"Excellent value for money, highly recommend to everyone"
201,Health Supplements,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Really."
202,Kitchen Tools,1,Terrible quality,"Terrible quality, broke after just one use Bought it last week."
203,Skincare,2,Not worth the price,"Not worth the price, quality is really bad Overall a solid experience."
204,Beverages,5,This is amazing,"This is amazing, best purchase I have made this year Bought it last week."
205,Beverages,5,This is amazing,"This is amazing, best purchase I have made this year Overall a solid experience."
206,Coffee & Tea,1,Very disappointed with this purchase,"Very disappointed with this purchase, would not recommend Overall a solid experience."
207,Beverages,2,Completely useless,"Completely useless, going to return it immediately Really."
208,Beverages,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Really."
209,Beverages,1,Poor customer service and the product ar,Poor customer service and the product arrived late Bought it last week.
210,Coffee & Tea,2,Very disappointed with this purchase,"Very disappointed with this purchase, would not recommend Overall a solid experience."
211,Skincare,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me"
212,Health Supplements,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Just my honest opinion."
213,Skincare,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Just my honest opinion."
214,Coffee & Tea,3,It is fine for daily use,"It is fine for daily use, no major complaints Really."
215,Pet Food,5,This is amazing,"This is amazing, best purchase I have made this year Bought it last week."
216,Coffee & Tea,3,It is fine for daily use,"It is fine for daily use, no major complaints Just my honest opinion."
217,Skincare,4,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Overall a solid experience."
218,Pet Food,5,Excellent value for money,"Excellent value for money, highly recommend to everyone"
219,Health Supplements,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Really.
220,Coffee & Tea,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Bought it last week."
221,Health Supplements,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me"
222,Health Supplements,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Really."
223,Pet Food,1,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Overall a solid experience.
224,Pet Food,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience."
225,Kitchen Tools,3,It is okay,"It is okay, nothing special but does the job Bought it last week."
226,Coffee & Tea,3,Average product,"Average product, not bad but not great either Really."
227,Kitchen Tools,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Bought it last week.
228,Health Supplements,4,Super satisfied with the quality and the,Super satisfied with the quality and the price point Just my honest opinion.
229,Pet Food,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations"
230,Kitchen Tools,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Just my honest opinion."
231,Skincare,5,Works exactly as described,"Works exactly as described, very happy with this purchase Bought it last week."
232,Skincare,4,Super satisfied with the quality and the,Super satisfied with the quality and the price point Bought it last week.
233,Skincare,5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Bought it last week."
234,Pet Food,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Just my honest opinion."
235,Kitchen Tools,3,Not sure if I would buy this again,"Not sure if I would buy this again, it is just fine Overall a solid experience."
236,Skincare,5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Really."
237,Electronics Accessories,3,Average product,"Average product, not bad but not great either Bought it last week."
238,Health Supplements,1,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Really.
239,Pet Food,5,Works exactly as described,"Works exactly as described, very happy with this purchase Bought it last week."
240,Pet Food,2,Terrible quality,"Terrible quality, broke after just one use Really."
241,Electronics Accessories,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Overall a solid experience."
242,Electronics Accessories,5,Works exactly as described,"Works exactly as described, very happy with this purchase"
243,Snacks,5,Works exactly as described,"Works exactly as described, very happy with this purchase"
244,Electronics Accessories,4,My family loves it,"My family loves it, we buy this every single month now Overall a solid experience."
245,Snacks,1,Not worth the price,"Not worth the price, quality is really bad"
246,Health Supplements,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Overall a solid experience."
247,Skincare,4,Super satisfied with the quality and the,Super satisfied with the quality and the price point Just my honest opinion.
248,Pet Food,5,This is amazing,"This is amazing, best purchase I have made this year"
249,Beverages,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point
250,Beverages,5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Just my honest opinion."
251,Electronics Accessories,3,It is okay,"It is okay, nothing special but does the job Really."
252,Beverages,4,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Overall a solid experience."
253,Coffee & Tea,5,Excellent value for money,"Excellent value for money, highly recommend to everyone"
254,Kitchen Tools,4,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Bought it last week."
255,Health Supplements,2,I regret buying this,"I regret buying this, it did not meet expectations at all Just my honest opinion."
256,Coffee & Tea,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Overall a solid experience.
257,Snacks,5,Works exactly as described,"Works exactly as described, very happy with this purchase Bought it last week."
258,Kitchen Tools,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed"
259,Beverages,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Overall a solid experience."
260,Electronics Accessories,1,Waste of money,"Waste of money, does not work as advertised Really."
261,Electronics Accessories,5,My family loves it,"My family loves it, we buy this every single month now"
262,Health Supplements,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Just my honest opinion."
263,Snacks,2,Not worth the price,"Not worth the price, quality is really bad Overall a solid experience."
264,Pet Food,4,Excellent value for money,"Excellent value for money, highly recommend to everyone Overall a solid experience."
265,Kitchen Tools,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point
266,Kitchen Tools,5,Works exactly as described,"Works exactly as described, very happy with this purchase Bought it last week."
267,Kitchen Tools,5,The best product I have tried so far,"The best product I have tried so far, will reorder soon"
268,Electronics Accessories,5,This is amazing,"This is amazing, best purchase I have made this year Overall a solid experience."
269,Electronics Accessories,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again"
270,Pet Food,3,Not sure if I would buy this again,"Not sure if I would buy this again, it is just fine Bought it last week."
271,Health Supplements,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point
272,Pet Food,5,Works exactly as described,"Works exactly as described, very happy with this purchase Just my honest opinion."
273,Health Supplements,5,My family loves it,"My family loves it, we buy this every single month now Bought it last week."
274,Snacks,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point
275,Pet Food,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Overall a solid experience."
276,Kitchen Tools,4,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations"
277,Snacks,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Bought it last week."
278,Snacks,5,Works exactly as described,"Works exactly as described, very happy with this purchase Bought it last week."
279,Health Supplements,5,This is amazing,"This is amazing, best purchase I have made this year Just my honest opinion."
280,Coffee & Tea,5,Works exactly as described,"Works exactly as described, very happy with this purchase Really."
281,Health Supplements,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point
282,Skincare,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Just my honest opinion."
283,Electronics Accessories,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me"
284,Health Supplements,1,This is the worst product I have ever bo,This is the worst product I have ever bought Just my honest opinion.
285,Snacks,5,Works exactly as described,"Works exactly as described, very happy with this purchase Just my honest opinion."
286,Skincare,1,Not worth the price,"Not worth the price, quality is really bad"
287,Beverages,4,Works exactly as described,"Works exactly as described, very happy with this purchase Overall a solid experience."
288,Snacks,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Bought it last week."
289,Snacks,3,It is fine for daily use,"It is fine for daily use, no major complaints Just my honest opinion."
290,Skincare,5,Excellent value for money,"Excellent value for money, highly recommend to everyone Bought it last week."
291,Snacks,1,Not worth the price,"Not worth the price, quality is really bad Just my honest opinion."
292,Electronics Accessories,1,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Overall a solid experience.
293,Health Supplements,5,Works exactly as described,"Works exactly as described, very happy with this purchase Just my honest opinion."
294,Kitchen Tools,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again"
295,Snacks,2,Waste of money,"Waste of money, does not work as advertised Overall a solid experience."
296,Beverages,4,My family loves it,"My family loves it, we buy this every single month now Just my honest opinion."
297,Health Supplements,5,Excellent value for money,"Excellent value for money, highly recommend to everyone"
298,Health Supplements,3,Average product,"Average product, not bad but not great either Really."
299,Pet Food,5,Works exactly as described,"Works exactly as described, very happy with this purchase Bought it last week."
300,Health Supplements,1,Completely useless,"Completely useless, going to return it immediately Just my honest opinion."
301,Electronics Accessories,1,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Just my honest opinion.
302,Electronics Accessories,4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Really."
303,Coffee & Tea,4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Overall a solid experience."
304,Pet Food,5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Bought it last week."
305,Pet Food,5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Overall a solid experience."
306,Health Supplements,5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Bought it last week."
307,Health Supplements,4,This is amazing,"This is amazing, best purchase I have made this year Just my honest opinion."
308,Coffee & Tea,4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience."
309,Kitchen Tools,5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Overall a solid experience.
310,Coffee & Tea,3,It works fine,"It works fine, though I expected a bit more Bought it last week."
311,Snacks,4,Excellent value for money,"Excellent value for money, highly recommend to everyone Just my honest opinion."
312,Coffee & Tea,1,This is the worst product I have ever bo,This is the worst product I have ever bought Just my honest opinion.
313,Health Supplements,1,Completely useless,"Completely useless, going to return it immediately Really."
