Order ID,Order Date,Region,Segment,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1039,2022-03-23,South,Home Office,Technology,Phones,126.28,5,0.2,27.59
ORD-1040,2023-02-23,West,Corporate,Technology,Accessories,37.47,3,0.3,-0.12
ORD-1041,2023-09-07,East,Consumer,Office Supplies,Storage,36.05,2,0.4,-3.67
ORD-1042,2022-05-31,Central,Consumer,Technology,Machines,250.33,2,0.2,21.57
ORD-1043,2023-05-16,West,Corporate,Office Supplies,Storage,42.9,1,0.15,3.18
ORD-1044,2023-09-06,West,Corporate,Technology,Phones,633.54,2,0.0,152.2
ORD-1045,2022-11-15,West,Home Office,Office Supplies,Storage,16.62,4,0.2,3.59
ORD-1046,2023-06-25,Central,Consumer,Technology,Copiers,445.36,7,0.0,183.87
ORD-1047,2023-07-21,Central,Consumer,Furniture,Chairs,138.42,3,0.15,25.72
ORD-1048,2024-06-23,East,Consumer,Technology,Copiers,314.76,3,0.0,28.2
ORD-1049,2022-03-15,West,Corporate,Office Supplies,Labels,33.57,1,0.0,3.56
ORD-1050,2023-09-24,Central,Consumer,Office Supplies,Paper,12.74,2,0.1,2.0
ORD-1051,2023-12-26,West,Consumer,Technology,Copiers,455.53,3,0.0,59.53
ORD-1052,2024-04-24,Central,Corporate,Furniture,Tables,105.78,5,0.1,6.49
ORD-1053,2022-11-23,South,Consumer,Technology,Phones,218.27,4,0.4,3.65
ORD-1054,2023-02-13,Central,Consumer,Office Supplies,Storage,39.56,1,0.1,10.16
ORD-1055,2023-01-31,Central,Consumer,Office Supplies,Storage,25.64,6,0.15,1.29
ORD-1056,2024-11-09,Central,Consumer,Office Supplies,Labels,40.5,5,0.0,9.87
ORD-1057,2023-01-01,East,Consumer,Technology,Accessories,694.74,6,0.3,-72.29
ORD-1058,2023-10-05,East,Corporate,Office Supplies,Labels,40.23,5,0.1,5.7
ORD-1059,2022-04-01,East,Home Office,Technology,Copiers,345.84,6,0.1,69.75
ORD-1060,2024-06-02,Central,Home Office,Furniture,Bookcases,259.3,5,0.0,16.67
ORD-1061,2024-11-04,Central,Corporate,Office Supplies,Art,38.05,3,0.15,-2.7
ORD-1062,2023-01-28,West,Home Office,Office Supplies,Art,11.07,7,0.15,1.7
ORD-1063,2022-01-01,West,Corporate,Office Supplies,Storage,17.46,8,0.2,-1.5
ORD-1064,2024-06-23,South,Home Office,Office Supplies,Binders,64.91,2,0.0,12.95
ORD-1065,2023-08-05,East,Consumer,Technology,Accessories,136.28,4,0.15,12.61
ORD-1066,2023-02-12,East,Consumer,Furniture,Chairs,95.23,2,0.4,-14.08
ORD-1067,2024-07-21,West,Home Office,Office Supplies,Labels,61.56,8,0.3,-1.77
ORD-1068,2024-03-29,East,Consumer,Furniture,Tables,210.44,4,0.3,36.71
ORD-1069,2022-12-27,East,Home Office,Technology,Copiers,75.34,2,0.1,7.22
ORD-1070,2024-07-23,Central,Corporate,Furniture,Furnishings,78.9,8,0.3,4.57
ORD-1071,2022-11-22,South,Corporate,Technology,Copiers,264.51,5,0.1,49.95
ORD-1072,2024-12-03,Central,Corporate,Office Supplies,Binders,15.9,5,0.0,-0.51
ORD-1073,2023-04-26,Central,Home Office,Office Supplies,Storage,14.68,3,0.0,1.3
ORD-1074,2022-11-05,West,Home Office,Furniture,Furnishings,237.55,2,0.1,34.74
ORD-1075,2024-04-29,South,Corporate,Office Supplies,Storage,39.66,4,0.0,2.1
ORD-1076,2024-05-10,East,Home Office,Office Supplies,Labels,34.86,8,0.3,-4.78
ORD-1077,2022-01-13,South,Corporate,Office Supplies,Storage,61.32,8,0.1,13.98
ORD-1078,2023-03-26,South,Consumer,Office Supplies,Art,8.91,6,0.3,-1.0
ORD-1079,2024-04-08,South,Consumer,Technology,Machines,366.0,7,0.0,66.2
ORD-1080,2022-02-25,West,Corporate,Furniture,Furnishings,302.99,1,0.0,185.53
ORD-1081,2023-06-17,West,Corporate,Office Supplies,Storage,80.86,6,0.2,13.63
ORD-1082,2024-02-16,Central,Consumer,Office Supplies,Art,25.84,1,0.4,1.06
ORD-1083,2022-04-17,East,Home Office,Office Supplies,Binders,37.78,1,0.0,1.79
ORD-1084,2023-05-22,West,Consumer,Furniture,Chairs,849.57,8,0.0,-62.93
ORD-1085,2022-08-23,South,Home Office,Technology,Machines,207.68,6,0.15,17.57
ORD-1086,2022-12-10,West,Corporate,Technology,Phones,197.51,1,0.0,55.44
ORD-1087,2023-10-01,South,Home Office,Technology,Copiers,805.3,2,0.1,92.95
ORD-1088,2023-05-13,East,Home Office,Furniture,Bookcases,111.3,6,0.0,19.59
ORD-1089,2024-12-27,East,Home Office,Office Supplies,Storage,140.89,1,0.2,38.21
ORD-1090,2024-05-10,South,Corporate,Office Supplies,Paper,3.62,3,0.4,-0.1
ORD-1091,2024-06-10,South,Corporate,Furniture,Bookcases,144.52,5,0.3,-28.95
ORD-1092,2023-10-23,Central,Corporate,Furniture,Chairs,300.91,8,0.1,61.35
ORD-1093,2024-02-16,South,Corporate,Office Supplies,Paper,25.43,8,0.0,2.84
ORD-1094,2023-03-11,Central,Corporate,Office Supplies,Storage,102.85,1,0.15,12.71
ORD-1095,2024-11-24,West,Home Office,Furniture,Chairs,275.34,8,0.3,54.56
ORD-1096,2023-05-08,South,Corporate,Technology,Copiers,65.46,2,0.0,6.02
ORD-1097,2023-08-26,West,Corporate,Furniture,Furnishings,172.32,8,0.2,47.33
ORD-1098,2024-12-23,Central,Corporate,Office Supplies,Art,13.26,5,0.4,1.93
ORD-1099,2023-09-20,East,Home Office,Office Supplies,Binders,8.36,6,0.1,0.71
ORD-1100,2022-09-02,West,Consumer,Technology,Machines,198.6,5,0.4,17.79
ORD-1101,2024-12-10,East,Consumer,Technology,Accessories,293.98,4,0.15,14.91
ORD-1102,2024-01-10,East,Home Office,Furniture,Bookcases,218.32,5,0.0,35.72
ORD-1103,2022-04-04,West,Home Office,Furniture,Bookcases,334.49,2,0.4,-41.42
ORD-1104,2022-01-26,South,Corporate,Technology,Accessories,1075.95,6,0.4,-73.4
ORD-1105,2023-01-13,South,Consumer,Furniture,Bookcases,318.42,7,0.0,29.18
ORD-1106,2024-10-04,West,Consumer,Furniture,Chairs,243.66,2,0.15,1.04
ORD-1107,2023-05-24,West,Home Office,Furniture,Furnishings,377.71,8,0.3,43.15
ORD-1108,2024-06-25,South,Corporate,Office Supplies,Labels,86.66,2,0.0,21.45
ORD-1109,2023-03-02,Central,Home Office,Technology,Machines,458.29,3,0.0,99.09
ORD-1110,2023-05-07,West,Consumer,Furniture,Chairs,113.46,8,0.3,-0.28
ORD-1111,2024-08-20,West,Corporate,Office Supplies,Paper,36.46,8,0.15,-0.19
ORD-1112,2022-05-26,Central,Home Office,Technology,Machines,640.81,7,0.1,47.34
ORD-1113,2022-08-24,West,Corporate,Technology,Machines,616.99,2,0.0,62.35
ORD-1114,2022-05-03,Central,Corporate,Furniture,Bookcases,253.47,8,0.0,77.73
ORD-1115,2023-09-15,Central,Home Office,Technology,Copiers,296.44,8,0.4,-23.33
ORD-1116,2022-06-14,South,Home Office,Technology,Phones,530.27,5,0.2,47.14
ORD-1117,2022-02-22,East,Home Office,Furniture,Tables,188.03,1,0.15,57.25
ORD-1118,2022-12-25,South,Corporate,Office Supplies,Labels,69.1,7,0.0,2.02
ORD-1119,2024-10-04,Central,Corporate,Furniture,Furnishings,67.4,6,0.2,9.6
ORD-1120,2022-08-03,South,Home Office,Furniture,Bookcases,335.58,5,0.4,-17.27
ORD-1121,2024-03-31,South,Consumer,Technology,Phones,132.29,5,0.2,-26.56
ORD-1122,2023-10-25,East,Home Office,Furniture,Furnishings,644.54,7,0.4,-96.07
ORD-1123,2022-04-22,South,Home Office,Furniture,Bookcases,160.65,1,0.4,3.8
ORD-1124,2023-02-21,West,Corporate,Office Supplies,Labels,82.12,8,0.4,-1.69
ORD-1125,2022-09-06,West,Corporate,Furniture,Tables,136.77,7,0.0,29.69
ORD-1126,2022-07-10,South,Consumer,Furniture,Chairs,383.24,8,0.0,-9.11
ORD-1127,2023-08-21,South,Corporate,Technology,Accessories,75.24,4,0.4,-9.76
ORD-1128,2024-07-24,South,Consumer,Technology,Machines,719.49,2,0.0,134.77
ORD-1129,2023-07-20,Central,Consumer,Office Supplies,Storage,87.78,5,0.15,3.4
ORD-1130,2024-09-29,South,Corporate,Furniture,Furnishings,207.6,7,0.2,18.42
ORD-1131,2024-07-21,West,Home Office,Office Supplies,Binders,16.21,4,0.3,0.96
ORD-1132,2024-04-21,South,Home Office,Furniture,Bookcases,223.01,7,0.3,18.47
ORD-1133,2022-11-08,West,Home Office,Office Supplies,Paper,24.01,2,0.2,1.4
ORD-1134,2024-06-20,East,Home Office,Furniture,Furnishings,410.76,7,0.0,66.43
ORD-1135,2022-11-13,Central,Corporate,Furniture,Furnishings,106.83,2,0.3,29.17
ORD-1136,2023-11-04,Central,Home Office,Technology,Copiers,393.41,1,0.4,81.98
ORD-1137,2022-05-21,West,Home Office,Furniture,Bookcases,107.42,7,0.0,14.68
ORD-1138,2022-07-21,South,Consumer,Technology,Phones,572.51,1,0.15,-14.75
ORD-1139,2022-04-05,Central,Corporate,Office Supplies,Paper,20.13,7,0.2,3.5
ORD-1140,2022-10-26,West,Consumer,Furniture,Furnishings,31.48,2,0.0,6.01
ORD-1141,2024-02-23,South,Home Office,Technology,Machines,954.03,4,0.0,208.51
ORD-1142,2024-08-02,South,Corporate,Technology,Accessories,570.47,8,0.0,-4.81
ORD-1143,2023-08-13,East,Corporate,Technology,Machines,931.94,5,0.2,38.36
ORD-1144,2024-05-18,South,Corporate,Technology,Accessories,232.44,7,0.1,-24.54
ORD-1145,2024-09-16,South,Home Office,Furniture,Tables,512.09,5,0.2,42.54
ORD-1146,2023-08-28,Central,Consumer,Furniture,Furnishings,256.63,8,0.0,-10.61
ORD-1147,2023-08-10,West,Home Office,Furniture,Bookcases,125.81,5,0.1,16.5
ORD-1148,2022-10-08,East,Corporate,Technology,Phones,365.45,1,0.4,-18.04
ORD-1149,2024-01-18,East,Corporate,Technology,Machines,302.41,7,0.2,3.76
ORD-1150,2022-12-26,Central,Home Office,Furniture,Tables,42.16,3,0.15,3.77
ORD-1151,2023-06-11,Central,Consumer,Office Supplies,Storage,48.46,2,0.4,3.74
ORD-1152,2022-10-16,Central,Consumer,Furniture,Furnishings,569.2,1,0.3,22.7
ORD-1153,2023-06-26,South,Corporate,Technology,Phones,153.14,7,0.15,13.6
ORD-1154,2024-01-31,South,Consumer,Furniture,Tables,572.32,4,0.2,170.14
ORD-1155,2022-05-10,Central,Home Office,Technology,Copiers,895.13,2,0.3,-109.61
ORD-1156,2022-10-14,Central,Corporate,Furniture,Chairs,167.86,2,0.0,38.18
ORD-1157,2023-04-26,South,Corporate,Technology,Machines,723.01,7,0.2,-1.47
ORD-1158,2022-11-13,South,Home Office,Office Supplies,Paper,25.25,5,0.3,3.21
ORD-1159,2022-03-09,West,Corporate,Technology,Accessories,47.45,4,0.4,2.67
ORD-1160,2024-01-13,Central,Consumer,Furniture,Bookcases,186.99,5,0.3,33.71
ORD-1161,2023-01-24,East,Home Office,Furniture,Furnishings,220.52,1,0.1,48.03
ORD-1162,2022-04-14,West,Home Office,Office Supplies,Binders,42.62,2,0.1,-4.45
ORD-1163,2023-03-01,West,Corporate,Technology,Machines,279.3,1,0.0,41.69
ORD-1164,2023-07-22,Central,Consumer,Furniture,Tables,280.39,1,0.0,-1.83
ORD-1165,2022-09-27,West,Home Office,Furniture,Bookcases,336.16,1,0.2,-27.62
ORD-1166,2022-12-23,West,Home Office,Office Supplies,Paper,47.58,2,0.3,-0.36
ORD-1167,2022-05-11,Central,Home Office,Office Supplies,Art,64.58,8,0.0,6.23
ORD-1168,2024-10-28,Central,Corporate,Furniture,Chairs,140.61,1,0.0,12.14
ORD-1169,2024-09-07,East,Corporate,Office Supplies,Art,16.77,2,0.4,-3.72
ORD-1170,2022-06-15,West,Consumer,Office Supplies,Labels,28.63,5,0.0,11.04
ORD-1171,2023-10-28,Central,Corporate,Office Supplies,Labels,34.25,2,0.3,2.11
ORD-1172,2022-08-23,South,Corporate,Technology,Machines,657.25,7,0.1,56.87
ORD-1173,2023-11-26,South,Home Office,Office Supplies,Art,27.95,6,0.0,1.72
ORD-1174,2024-05-24,Central,Consumer,Office Supplies,Storage,50.65,2,0.4,-4.2
ORD-1175,2022-07-06,South,Consumer,Furniture,Chairs,13.91,3,0.2,-0.35
ORD-1176,2022-05-03,East,Corporate,Technology,Accessories,23.84,7,0.2,2.84
ORD-1177,2022-04-16,Central,Corporate,Office Supplies,Labels,42.03,4,0.0,1.4
ORD-1178,2022-11-13,West,Consumer,Technology,Copiers,309.99,6,0.2,-44.26
ORD-1179,2022-08-24,West,Corporate,Office Supplies,Labels,38.87,5,0.0,4.96
ORD-1180,2022-03-01,Central,Corporate,Furniture,Bookcases,200.72,1,0.2,-5.54
ORD-1181,2023-01-07,East,Consumer,Furniture,Furnishings,78.0,2,0.0,13.74
ORD-1182,2024-12-22,South,Corporate,Furniture,Furnishings,392.53,3,0.2,19.25
ORD-1183,2024-01-28,East,Consumer,Office Supplies,Storage,88.01,3,0.0,38.28
ORD-1184,2022-04-12,Central,Corporate,Technology,Phones,586.16,8,0.3,-72.96
ORD-1185,2024-06-24,West,Home Office,Office Supplies,Storage,28.66,6,0.0,9.1
ORD-1186,2024-05-30,South,Home Office,Furniture,Bookcases,60.4,1,0.15,-5.61
ORD-1187,2023-03-28,East,Consumer,Office Supplies,Labels,50.08,5,0.1,2.25
ORD-1188,2023-03-09,Central,Corporate,Furniture,Bookcases,122.76,1,0.0,9.69
ORD-1189,2024-10-15,West,Consumer,Technology,Copiers,136.78,4,0.3,-41.08
ORD-1190,2024-10-21,East,Corporate,Technology,Accessories,475.3,7,0.0,57.67
ORD-1191,2022-02-08,Central,Home Office,Office Supplies,Paper,14.96,7,0.3,0.43
ORD-1192,2024-05-05,South,Consumer,Office Supplies,Paper,40.91,3,0.2,4.5
ORD-1193,2024-07-31,East,Corporate,Technology,Accessories,121.87,4,0.0,48.16
ORD-1194,2024-06-11,East,Corporate,Technology,Copiers,831.92,6,0.15,-3.76
ORD-1195,2023-03-30,East,Home Office,Office Supplies,Binders,50.34,4,0.0,9.24
ORD-1196,2023-12-17,West,Consumer,Office Supplies,Binders,0.83,5,0.0,0.15
ORD-1197,2023-02-09,East,Consumer,Furniture,Tables,93.82,8,0.4,-17.52
ORD-1198,2024-07-08,Central,Consumer,Technology,Accessories,356.43,2,0.4,-45.7
ORD-1199,2024-08-18,Central,Home Office,Office Supplies,Storage,34.57,6,0.0,2.69
ORD-1200,2024-11-05,South,Corporate,Furniture,Bookcases,356.68,1,0.0,76.18
ORD-1201,2024-01-26,East,Home Office,Office Supplies,Paper,86.13,8,0.3,-18.3
ORD-1202,2022-03-26,West,Corporate,Office Supplies,Labels,13.15,3,0.4,-0.07
ORD-1203,2022-05-07,Central,Home Office,Office Supplies,Paper,20.04,3,0.0,4.18
ORD-1204,2022-03-22,South,Home Office,Furniture,Furnishings,581.51,6,0.0,110.78
ORD-1205,2024-02-03,South,Corporate,Office Supplies,Art,23.79,6,0.0,2.66
ORD-1206,2022-05-15,South,Corporate,Office Supplies,Paper,25.76,3,0.15,2.83
ORD-1207,2023-11-14,Central,Corporate,Furniture,Tables,754.78,3,0.3,-24.47
ORD-1208,2022-06-23,South,Home Office,Office Supplies,Labels,64.28,3,0.2,-12.51
ORD-1209,2024-12-14,Central,Consumer,Furniture,Furnishings,84.32,5,0.2,14.86
ORD-1210,2023-01-05,South,Consumer,Furniture,Bookcases,99.7,3,0.1,13.88
ORD-1211,2022-11-14,East,Home Office,Furniture,Bookcases,174.94,6,0.0,44.98
ORD-1212,2022-09-26,West,Consumer,Technology,Copiers,313.81,3,0.0,-8.61
ORD-1213,2024-06-15,Central,Home Office,Furniture,Furnishings,452.78,8,0.1,72.95
ORD-1214,2023-08-07,West,Home Office,Technology,Copiers,673.97,5,0.1,82.11
ORD-1215,2024-08-18,South,Corporate,Furniture,Bookcases,251.01,7,0.15,-14.05
ORD-1216,2024-10-26,West,Consumer,Technology,Copiers,143.29,5,0.0,22.72
ORD-1217,2022-04-17,Central,Home Office,Technology,Copiers,196.51,2,0.0,21.28
ORD-1218,2023-08-07,Central,Corporate,Furniture,Tables,372.82,7,0.0,43.85
ORD-1219,2022-07-07,Central,Consumer,Furniture,Furnishings,86.94,1,0.3,-4.46
ORD-1220,2024-03-22,West,Corporate,Technology,Accessories,183.78,6,0.0,46.74
ORD-1221,2023-04-05,East,Home Office,Furniture,Bookcases,512.61,3,0.2,-74.77
ORD-1222,2022-10-09,South,Home Office,Furniture,Bookcases,257.04,8,0.0,-16.31
ORD-1223,2024-07-07,East,Consumer,Technology,Phones,777.03,4,0.15,75.11
ORD-1224,2022-11-03,East,Corporate,Technology,Copiers,1389.33,5,0.1,157.17
ORD-1225,2022-09-07,South,Home Office,Furniture,Tables,348.77,2,0.4,-8.36
ORD-1226,2022-08-16,East,Home Office,Office Supplies,Labels,46.1,3,0.1,15.02
ORD-1227,2023-08-20,Central,Consumer,Office Supplies,Paper,81.54,3,0.3,1.8
ORD-1228,2022-06-25,East,Home Office,Technology,Accessories,314.87,7,0.0,9.84
ORD-1229,2024-08-20,Central,Corporate,Furniture,Furnishings,188.69,6,0.0,85.79
ORD-1230,2022-05-19,East,Home Office,Office Supplies,Binders,48.77,3,0.2,1.51
ORD-1231,2022-04-01,Central,Home Office,Office Supplies,Labels,23.48,8,0.0,5.92
ORD-1232,2024-09-07,West,Consumer,Technology,Machines,86.52,1,0.4,-17.77
ORD-1233,2023-08-24,West,Consumer,Furniture,Chairs,47.75,5,0.2,0.89
ORD-1234,2024-11-21,South,Corporate,Office Supplies,Labels,27.38,4,0.0,3.21
ORD-1235,2023-08-09,Central,Corporate,Office Supplies,Paper,58.72,6,0.0,7.7
ORD-1236,2024-06-13,South,Corporate,Office Supplies,Art,107.49,8,0.0,30.65
ORD-1237,2024-10-15,Central,Consumer,Office Supplies,Labels,13.36,2,0.3,0.83
ORD-1238,2024-05-31,Central,Corporate,Technology,Machines,235.04,2,0.0,4.05
ORD-1239,2023-11-03,Central,Corporate,Technology,Accessories,291.82,3,0.3,5.54
ORD-1240,2024-06-28,East,Home Office,Office Supplies,Art,33.69,7,0.2,1.59
ORD-1241,2023-07-17,East,Home Office,Technology,Phones,266.48,6,0.3,4.96
ORD-1242,2024-11-16,East,Consumer,Technology,Machines,284.33,1,0.4,-32.76
ORD-1243,2022-09-16,Central,Corporate,Furniture,Tables,522.36,1,0.3,-166.7
ORD-1244,2022-11-11,Central,Corporate,Technology,Copiers,673.48,2,0.4,-201.24
ORD-1245,2022-10-09,South,Corporate,Technology,Accessories,362.17,4,0.15,16.09
ORD-1246,2022-08-21,South,Home Office,Furniture,Tables,53.74,2,0.3,-5.02
ORD-1247,2023-06-21,West,Home Office,Office Supplies,Art,24.84,8,0.15,1.66
ORD-1248,2023-02-14,East,Corporate,Furniture,Tables,398.74,8,0.0,120.65
ORD-1249,2022-06-29,Central,Home Office,Technology,Accessories,159.7,5,0.0,10.0
ORD-1250,2023-09-07,Central,Home Office,Furniture,Tables,134.64,2,0.1,21.37
ORD-1251,2023-02-16,South,Consumer,Furniture,Tables,156.71,6,0.2,3.53
ORD-1252,2024-08-15,East,Consumer,Technology,Machines,483.58,7,0.15,62.05
ORD-1253,2024-09-07,South,Home Office,Technology,Copiers,844.15,3,0.0,24.61
ORD-1254,2023-10-12,South,Corporate,Technology,Phones,447.23,3,0.2,5.75
ORD-1255,2023-01-08,East,Consumer,Furniture,Furnishings,38.35,5,0.0,13.87
ORD-1256,2022-12-04,West,Corporate,Furniture,Bookcases,134.85,2,0.15,27.09
ORD-1257,2023-05-29,West,Home Office,Furniture,Bookcases,500.97,2,0.15,-67.82
ORD-1258,2024-10-26,West,Consumer,Technology,Machines,87.48,1,0.2,22.8
ORD-1259,2022-02-28,Central,Home Office,Furniture,Chairs,132.19,7,0.1,28.63
ORD-1260,2022-03-04,Central,Home Office,Office Supplies,Labels,32.54,8,0.15,1.02
ORD-1261,2023-05-17,Central,Corporate,Technology,Copiers,278.99,1,0.0,114.0
ORD-1262,2022-11-20,South,Corporate,Office Supplies,Art,53.88,6,0.1,6.49
ORD-1263,2022-10-22,Central,Corporate,Office Supplies,Storage,28.8,6,0.0,-0.13
ORD-1264,2024-11-20,Central,Consumer,Technology,Phones,315.04,2,0.4,-8.35
ORD-1265,2023-07-02,West,Consumer,Office Supplies,Binders,13.92,5,0.0,5.44
ORD-1266,2024-02-26,West,Consumer,Technology,Copiers,485.68,6,0.2,39.21
ORD-1267,2023-01-24,South,Corporate,Furniture,Furnishings,410.55,8,0.15,-18.66
ORD-1268,2022-02-17,South,Consumer,Furniture,Furnishings,302.01,6,0.1,-36.51
ORD-1269,2022-04-10,South,Home Office,Furniture,Bookcases,62.55,5,0.4,-5.74
ORD-1270,2022-01-17,West,Corporate,Furniture,Furnishings,242.05,7,0.2,-5.66
ORD-1271,2024-01-20,East,Home Office,Furniture,Furnishings,53.8,6,0.1,14.04
ORD-1272,2023-08-15,South,Home Office,Furniture,Furnishings,95.78,2,0.15,-3.73
ORD-1273,2022-09-21,Central,Corporate,Furniture,Furnishings,987.27,3,0.2,60.66
ORD-1274,2023-02-12,East,Consumer,Technology,Copiers,334.01,3,0.0,27.03
ORD-1275,2023-11-14,South,Consumer,Office Supplies,Labels,36.58,6,0.0,-1.93
ORD-1276,2023-10-15,Central,Home Office,Furniture,Furnishings,411.68,8,0.2,18.86
ORD-1277,2023-09-06,Central,Corporate,Office Supplies,Paper,103.15,7,0.0,-3.81
ORD-1278,2023-09-23,South,Corporate,Technology,Phones,210.24,1,0.1,36.98
ORD-1279,2024-09-10,West,Home Office,Furniture,Furnishings,407.99,1,0.1,-45.51
ORD-1280,2022-08-14,South,Corporate,Furniture,Chairs,452.88,3,0.3,-4.05
ORD-1281,2024-04-25,South,Home Office,Technology,Machines,455.56,1,0.4,35.42
ORD-1282,2022-10-10,Central,Home Office,Technology,Machines,319.53,7,0.4,5.49
ORD-1283,2023-10-05,Central,Home Office,Furniture,Furnishings,435.94,5,0.2,-1.94
ORD-1284,2024-09-18,Central,Home Office,Furniture,Tables,328.08,4,0.15,41.52
ORD-1285,2023-09-02,South,Corporate,Office Supplies,Binders,38.99,6,0.4,1.88
ORD-1286,2023-07-15,South,Corporate,Office Supplies,Paper,36.91,3,0.2,-2.94
ORD-1287,2023-08-18,East,Corporate,Furniture,Bookcases,428.69,5,0.4,36.65
ORD-1288,2024-09-08,Central,Home Office,Furniture,Tables,195.62,3,0.15,36.7
ORD-1289,2022-08-12,West,Consumer,Technology,Machines,189.92,4,0.1,-13.03
ORD-1290,2022-04-18,Central,Home Office,Furniture,Furnishings,300.1,2,0.4,-7.01
ORD-1291,2022-10-09,South,Home Office,Furniture,Tables,140.23,8,0.4,-11.4
ORD-1292,2023-02-13,Central,Home Office,Office Supplies,Storage,36.94,2,0.0,11.96
ORD-1293,2023-04-21,West,Corporate,Technology,Phones,338.36,1,0.0,85.99
ORD-1294,2024-03-24,Central,Consumer,Office Supplies,Binders,41.19,5,0.0,6.59
ORD-1295,2022-08-08,South,Home Office,Office Supplies,Storage,69.11,3,0.4,6.69
ORD-1296,2024-10-29,West,Consumer,Office Supplies,Storage,18.62,3,0.2,6.07
ORD-1297,2024-07-28,West,Consumer,Technology,Accessories,217.13,5,0.2,-32.96
ORD-1298,2023-01-31,South,Home Office,Furniture,Furnishings,33.9,2,0.2,-0.01
ORD-1299,2024-03-31,West,Consumer,Technology,Phones,232.52,6,0.4,-39.7
ORD-1300,2023-05-24,South,Consumer,Furniture,Bookcases,80.6,5,0.4,-4.37
ORD-1301,2023-11-07,East,Corporate,Office Supplies,Labels,39.75,4,0.2,-3.12
ORD-1302,2022-05-08,South,Corporate,Technology,Phones,474.67,7,0.0,127.27
ORD-1303,2024-10-26,East,Home Office,Technology,Accessories,245.94,6,0.15,86.61
ORD-1304,2023-03-29,South,Consumer,Furniture,Tables,118.51,6,0.4,-3.56
